,gene_symbol,log2fold.CC_vs_HC,p.CC_vs_HC,p.adj.CC_vs_HC,CC_1,CC_2,CC_3,CC_4,CC_5,CC_6,CC_7,CC_8,CC_9,CC_10,CC_11,CC_12,CC_13,CC_14,HC_1,HC_2,HC_3,HC_4,HC_5,HC_6,HC_7,HC_8,HC_9,HC_10,HC_11,HC_12,HC_13,HC_14,mean
ENSG00000134250,NOTCH2,0.161301235,0.340315513,0.526759295,8301.12,6280.04,5983.26,6421.38,11229.84,8493.34,7274.46,9997.52,7250.04,4896.31,5826.59,7546.92,6648.74,6651.04,6117.6,5944.87,6542.38,4752.17,5460.45,5302.66,7087.32,3767.63,3507.44,4702.69,5823.44,4834.71,3901.7,6875.39,6356.603333
ENSG00000245598,DACT3-AS1,0.249606325,0.273710902,0.456519255,2133.24,2513.18,1759.67,1731.1,2298.05,1348.99,1680.2,1596.43,2292.05,1973.78,2387.49,2015.47,1961.3,2373.41,2106.55,2416.65,2431.03,2577.61,3011.64,2546.75,2693.88,2710.35,2355.69,2219.04,2258.24,2138.84,2207.73,2406.12,2188.12119
ENSG00000134285,FKBP11,0.042636741,0.685934806,0.812582392,2.83,2.5,1.87,0.74,0,1.66,3.08,1.91,0,0.82,1.17,0,0,0,3.48,0,2.71,1.36,0,0,2.31,1.01,0,0,0.77,0.68,0.94,2.69,1.235238095
ENSG00000004939,SLC4A1,0.751339609,0.080537124,0.203420226,627.67,1207.8,1041.42,1012.7,712.16,583.35,1375.27,1110.52,1256.64,949.58,1243.46,798.58,1058.92,940.69,1179.86,1488.69,1429.62,1636.71,1509.42,1415.22,1084.49,1755.06,1395.55,1712.57,1612.04,1627.14,1833.49,1411.35,1107.928571
ENSG00000134287,ARF3,0.278869402,0.056295783,0.159537944,0,0,7.47,0.74,2.13,1.66,3.08,2.87,0,4.1,0,4.75,3.35,3.42,1.16,1.1,0,0.68,2.4,0.8,4.62,2.02,1,0.79,1.53,2.71,1.89,0.9,2.133571429
ENSG00000134321,RSAD2,0.481826322,0.235322473,0.412251433,9.9,11.68,5.6,5.9,17.01,12.43,8.47,5.74,11.06,16.4,9.36,25.35,5.59,6.85,4.65,2.2,6.78,5.45,7.2,9.62,5.78,5.05,3.01,3.93,4.6,4.06,5.66,1.8,10.06857143
ENSG00000050393,MCUR1,0.005093089,0.972137532,0.98611748,1280.79,2040.24,1798.9,1734.79,1373.3,1358.11,1928.92,1539.04,1896.03,1893.41,1924.26,1598.75,1840.54,1949.87,1822.04,2154.97,2092.26,2235.15,2105.03,1958.55,1993.24,2530.6,2372.74,2215.11,2074.27,2353.4,2220.93,2126.9,1867.639762
ENSG00000134326,CMPK2,0.069133652,0.808287462,0.893234625,7.07,4.17,1.87,8.85,2.13,8.29,5.39,5.74,3.32,6.56,2.34,1.58,4.47,2.28,1.16,14.29,0,4.08,1.6,6.41,4.62,7.07,5.02,12.56,6.13,6.77,0.94,3.59,4.411428571
ENSG00000134333,LDHA,0.623983056,0.000374953,0.006166926,46.65,10.01,11.21,8.85,13.82,2.49,9.24,13.39,9.96,7.38,2.34,6.34,0,6.85,4.65,7.7,6.78,4.77,0.8,14.42,4.62,4.04,4.01,3.14,7.67,2.71,9.43,7.18,11.3147619
ENSG00000134375,TIMM17A,0.030109443,0.834688201,0.908693019,41,88.42,42.03,59.74,34.01,44.75,63.14,34.43,65.27,26.24,57.32,20.6,42.49,68.5,76.64,52.77,55.56,54.47,42.37,87.35,46.25,64.63,73.24,59.68,65.16,79.87,54.67,77.21,55.72428571
