,gene_symbol,log2fold.FLU_vs_CC,p.FLU_vs_CC,p.adj.FLU_vs_CC,CC_1,CC_2,CC_3,CC_4,CC_5,CC_6,CC_7,CC_8,CC_9,CC_10,CC_11,CC_12,CC_13,CC_14,FLU_1,FLU_2,FLU_3,FLU_4,FLU_5,FLU_6,FLU_7,FLU_8,FLU_9,FLU_10,FLU_11,FLU_12,FLU_13,FLU_14,mean
ENSG00000211654,IGLV5-37,0.279791834,0.664479218,0.862795696,318.08,242.73,330.64,313.47,267.86,347.19,271.05,282.17,289.82,369.83,362.63,245.6,272.84,318.51,266.46,348.27,243.99,233.93,207.47,200.68,242.13,323.42,254.5,308.59,357.67,293.95,377.31,290.96,293.9392857
ENSG00000211655,IGLV1-36,1.556357893,0.001734717,0.047330466,43.82,55.05,34.56,46.47,35.08,24.03,71.61,53.56,44.25,36.08,49.13,39.61,26.84,34.25,27.05,38.7,37.76,36.67,27.66,57.64,71.64,88.11,85.77,52.57,52.96,50.22,127.9,70.23,44.63309524
ENSG00000211659,IGLV3-25,1.383263609,0.000348359,0.023578358,25.45,48.38,41.1,14.75,9.57,17.4,26.18,39.22,35.4,21.32,36.26,12.68,30.19,36.53,31.11,57.06,31.95,36.67,5.53,17.08,12.7,10.37,1.41,40.38,32.59,24.5,9.59,36.37,32.295
ENSG00000211660,IGLV2-23,1.299009735,0.000425209,0.025778365,4.24,8.34,5.6,8.85,4.25,3.31,15.4,6.7,5.53,7.38,9.36,9.51,4.47,4.57,20.29,28.86,4.36,2.53,2.77,2.13,10.88,5.18,5.62,15.24,5.7,3.67,7.99,46.4,9.75452381
ENSG00000211662,IGLV3-21,0.37661567,0.444984667,0.733628168,31.1,15.85,31.76,31.72,20.2,46.4,30.03,44,7.74,22.96,16.38,58.63,24.6,18.27,27.05,8.53,34.86,15.17,47.03,12.81,52.6,22.81,1.41,17.52,15.48,8.57,4.8,68.98,22.21404762
ENSG00000211663,IGLV3-19,0.723266856,0.087144513,0.33006284,7.07,2.5,3.74,2.95,3.19,3.31,3.08,4.78,1.11,4.1,3.51,0,3.35,0,2.71,3.28,8.71,2.53,27.66,23.48,7.25,1.04,1.41,1.52,5.7,4.9,11.19,8.78,4.21952381
ENSG00000211664,IGLV2-18,1.206788015,0.02915066,0.187246117,1.41,0.83,0.93,0.74,0,1.66,0.77,0,0,3.28,1.17,0,0,0,2.71,0.66,4.36,1.26,0,8.54,0.91,6.22,8.44,1.52,0,3.67,7.99,1.25,1.817619048
ENSG00000211666,IGLV2-14,1.039793816,0.003960208,0.069754361,726.63,522.15,495.96,435.17,780.19,562.63,446.62,367.3,707.97,574.01,488.96,602.11,588.17,705.52,783.16,761.48,855.43,768.79,990.33,1193.38,428.94,727.69,776.16,664.42,635.5,712.84,919.29,728.66,617.4571429
ENSG00000211668,IGLV2-11,0.342664746,0.414086055,0.708072204,8.48,14.18,4.67,7.38,12.76,4.14,5.39,6.7,9.96,10.66,10.53,9.51,4.47,7.99,0,7.87,0,6.32,8.3,14.94,5.44,8.29,8.44,3.81,12.22,4.9,7.99,13.8,7.933809524
ENSG00000211669,IGLV3-10,0.880203678,0.127924472,0.401740008,4.24,4.17,0.93,1.48,5.31,0.83,0.77,1.91,0,2.46,1.17,1.58,2.24,1.14,4.06,0.66,2.9,2.53,2.77,2.13,2.72,4.15,5.62,0.76,1.63,6.12,0,2.51,2.301904762
