,gene_symbol,log2fold.FLU_vs_HC,p.FLU_vs_HC,p.adj.FLU_vs_HC,HC_1,HC_2,HC_3,HC_4,HC_5,HC_6,HC_7,HC_8,HC_9,HC_10,HC_11,HC_12,HC_13,HC_14,FLU_1,FLU_2,FLU_3,FLU_4,FLU_5,FLU_6,FLU_7,FLU_8,FLU_9,FLU_10,FLU_11,FLU_12,FLU_13,FLU_14,mean
ENSG00000146122,DAAM2,-1.101137825,0.005619796,0.024076026,2468.87,2175.86,2112.59,2126.22,2394.44,2337.59,2770.18,3313.21,2490.12,2010.17,2071.2,2588.94,2225.64,2614.41,2073.55,3110.86,1273.7,2117.97,1247.6,2104.96,1446.43,1322.7,2706.7,3171.98,2003.46,1772.29,1004.02,2216.09,2034.674286
ENSG00000146143,PRIM2,0.099712899,0.75788728,0.851049285,1186.82,1497.49,1394.39,1335.78,1377.51,1057.81,1241.73,940.14,926.02,1049.84,1370.58,953.68,1097.27,1048.64,1362.08,885.44,839.45,2346.84,1264.2,3814.97,724.58,1691.73,2154.11,963.1,1477.95,3812.82,2903.35,213.21,1403.108571
ENSG00000146166,LGSN,1.185809814,0.004500574,0.020272655,1.16,3.3,5.42,5.45,5.6,4.81,6.94,2.02,11.04,9.42,8.43,4.74,3.77,5.39,2.71,1.97,0,7.59,0,0,0.91,0,0,3.81,0.81,3.67,0,6.27,3.675238095
ENSG00000146215,CRIP3,0.731495825,0.006811246,0.027926002,2.32,3.3,1.36,0.68,0.8,8.01,0,1.01,1,1.57,0.77,3.38,1.89,0.9,0,0.66,4.36,1.26,0,0,5.44,1.04,0,0,4.89,2.45,1.6,1.25,1.57547619
ENSG00000146223,RPL7L1,0.0757385,0.833210689,0.900450781,1219.34,1325.97,1279.21,1490.33,1355.12,1528.21,1423.24,1477.36,1444.71,1116.59,1327.66,1241.34,1091.61,1045.94,1199.76,1540.02,829.28,1279.64,677.74,736.52,609.41,1262.57,1030.66,1448.46,1412.77,1506.51,1387.72,675.99,1176.13381
ENSG00000146242,TPBG,0.046455496,0.911849788,0.948921113,3.48,2.2,0,1.36,1.6,0.8,0,2.02,2.01,2.36,1.53,2.03,0.94,3.59,0,1.97,1.45,0,0,0,0.91,1.04,0,7.62,0.81,1.22,0,2.51,1.586428571
ENSG00000146243,IRAK1BP1,0.189234169,0.689603743,0.802144433,1597.91,1640.42,2441.87,2190.9,2141.01,5752.23,2439.52,2029.73,2236.3,1882.96,1388.21,1660.98,1155.71,1583.73,1582.55,1940.11,1503.17,3320.48,2511.79,2886.31,1177.1,3349.24,2760.13,1942.96,3089.52,1898.45,8657.28,743.71,2262.688571
ENSG00000146247,PHIP,1.141407502,0.003633071,0.01705843,834.96,757.54,945.85,647.47,736.32,631.48,986.21,735.15,725.37,751.46,839.37,770.25,674.01,827.78,1190.3,717.54,499.6,1322.63,782.86,2805.19,813.45,1652.33,3024.48,803.09,1143.9,1521.21,1833.78,245.81,996.5047619
ENSG00000146250,PRSS35,0.076012336,0.841359456,0.905652994,0,0,0,1.36,0.8,0,3.47,0,0,3.93,2.3,0.68,0.94,5.39,0,0.66,2.9,0,0,2.13,3.63,0,1.41,0.76,1.63,0,1.6,6.27,1.998571429
ENSG00000146263,MMS22L,0.89262462,0.035669794,0.099015689,3.48,16.49,2.71,10.21,4,12.02,4.62,10.1,3.01,5.5,3.83,6.09,13.2,11.67,12.17,0.66,17.43,0,2.77,0,5.44,3.11,0,2.29,4.89,2.45,11.19,6.27,6.100952381
ENSG00000063180,CA11,0.568462484,0.343380575,0.509814734,23.23,43.98,21.68,21.79,34.38,44.88,16.19,31.3,37.12,50.25,62.09,47.38,36.76,26.04,32.46,44.6,37.76,17.7,13.83,8.54,11.79,31.1,21.09,41.15,52.14,33.07,35.17,135.45,33.5747619
ENSG00000248385,TARM1,0.423349816,0.490738183,0.645329606,284.51,228.69,279.15,251.91,271.02,210.76,329.51,186.82,317.03,222.22,243.76,188.16,186.65,285.5,342.21,205.29,393.58,263.01,567.09,599.89,331.91,580.49,411.98,217.92,205.32,571.98,266.99,352.42,347.8857143
ENSG00000076321,KLHL20,0.625073707,0.132276782,0.259100303,25.55,21.99,36.59,27.91,43.17,36.06,32.37,50.49,45.15,29.05,32.19,44.67,32.05,56.56,31.11,35.42,26.14,48.05,38.73,55.51,42.62,46.65,28.12,20.57,33.4,37.97,38.37,40.13,35.55595238
ENSG00000146373,RNF217,0.148065263,0.524692943,0.67461644,0,1.1,1.36,0,1.6,0,0,0,0,0,0,5.41,3.77,2.69,0,4.59,0,1.26,2.77,17.08,1.81,2.07,2.81,0.76,0,0,0,0,1.380952381
ENSG00000146409,SLC18B1,0.180508629,0.757727814,0.850981538,70.84,90.16,79.95,62.64,47.97,58.5,69.37,71.7,97.32,53.4,64.39,56.18,50.9,39.5,70.34,79.36,31.95,74.6,49.79,64.05,74.36,48.72,61.87,60.19,68.44,91.86,57.56,52.67,61.2752381
ENSG00000146410,MTFR2,1.624083153,0.031821167,0.090859153,11.61,8.8,6.78,10.89,13.59,12.82,25.44,6.06,5.02,10.99,3.83,7.45,3.77,18.85,12.17,16.4,20.33,22.76,22.13,25.62,33.55,39.39,18.28,6.1,13.04,23.27,3.2,15.05,15.05642857
ENSG00000063241,ISOC2,0.111822221,0.757001231,0.850313867,18.58,6.6,4.07,6.13,12.79,3.21,12.72,9.09,5.02,12.56,9.97,8.8,5.66,11.67,5.41,9.84,5.81,8.85,11.07,4.27,12.7,11.4,9.84,17.52,13.04,13.47,19.19,13.8,9.777142857
ENSG00000146433,TMEM181,0.163199392,0.633618193,0.760164719,2408.48,2654.13,2252.16,1772.19,2348.07,2126.03,2175.91,3062.78,3220.51,2003.89,1570.65,2561.19,2239.78,1746.23,3097.47,2857.03,1992.61,2164.76,1651.48,2760.35,1581.55,1695.87,1242.97,2740.71,1962.73,1768.62,2578.8,3141.65,2159.865
ENSG00000146453,PNLDC1,0.562563575,0.031645472,0.090447746,9.29,14.29,12.2,5.45,6.4,3.21,4.62,7.07,6.02,10.99,10.73,5.41,12.25,11.67,1.35,7.87,13.07,7.59,0,2.13,8.16,1.04,9.84,5.33,7.33,1.22,6.4,8.78,7.076190476
ENSG00000146476,ARMT1,0.778486084,0.006041082,0.02546153,193.93,185.81,127.38,232.16,139.91,213.97,189.61,121.18,202.66,166.47,228.43,173.27,179.11,181.36,171.78,148.89,304.99,108.74,298.76,111.01,275.68,407.38,85.77,153.15,193.1,210.67,151.88,362.45,214.8835714
ENSG00000237550,AC243919.1,1.272131097,2.23E-05,0.000291898,495.86,566.23,468.86,522.19,393.34,380.65,345.69,450.38,610.99,483.7,464.53,478.53,575.97,347.45,443.66,524.71,547.53,242.78,384.51,170.79,372.72,191.77,154.67,598.89,450.56,279.26,231.82,1275.47,439.0866667
ENSG00000146530,VWDE,0.062930229,0.925327991,0.957028251,5.81,1.1,8.13,2.04,17.59,12.82,4.62,8.08,37.12,24.34,26.06,20.31,19.8,7.18,4.06,21.64,0,24.02,0,4.27,8.16,2.07,4.22,19.05,6.52,1.22,9.59,16.3,10.48333333
ENSG00000063244,U2AF2,0.59005106,0.398496886,0.563565915,132.39,125.34,69.11,122.55,124.72,119.4,101.74,135.32,146.48,142.91,138.74,123.86,175.34,102.35,140.67,141.02,116.19,155.53,77.46,72.58,135.12,123.35,59.06,147.06,122.21,137.18,99.12,282.18,126.7769048
ENSG00000146540,C7orf50,2.221377812,2.84E-06,5.74E-05,54.58,25.29,21.68,43.57,23.18,27.25,21.97,40.39,48.16,29.84,22.23,19.63,36.76,26.04,21.64,28.2,17.43,31.61,13.83,2.13,14.51,21.77,14.06,35.05,21.18,3.67,19.19,60.2,24.88309524
ENSG00000146574,CCZ1B,0.628250425,0.134703677,0.262516202,162.58,131.94,189.71,153.19,130.32,144.25,196.55,183.79,220.72,109.93,134.15,161.77,124.43,121.2,189.37,197.42,152.5,182.08,138.31,326.63,92.5,201.1,279.81,238.49,193.1,226.59,227.02,194.39,171.0492857
ENSG00000100304,TTLL12,0.33516631,0.008181274,0.032219632,296.13,374.92,235.79,386.03,338.18,295.71,301.76,349.4,320.04,385.54,312.75,337.07,315.79,304.36,282.7,293.18,273.04,207.37,248.97,145.17,263.89,308.91,143.42,339.07,287.61,350.29,235.02,436.44,298.7957143
ENSG00000146576,C7orf26,0.810007531,0.159959427,0.297044427,13.94,7.7,8.13,8.17,11.19,4.01,10.41,7.07,15.05,18.85,6.13,11.51,8.48,11.67,5.41,6.56,4.36,11.38,5.53,10.67,5.44,6.22,21.09,7.62,5.7,4.9,3.2,11.29,9.065952381
